Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Accuracy Std
CatBoost,0.820873989602053,0.6727400143804407,0.3716086639517721,0.47864041976164967,0.7880239464681051,0.005093595509996841
XGBoost,0.8189550546107556,0.6617272806578972,0.3725509931890527,0.47657249997721224,0.7810944345715931,0.005344025197139852
LightGBM,0.8188718344924553,0.6636547608682885,0.3684043177493643,0.4736724703955154,0.780570384768712,0.004356232778467902
Random Forest,0.8138659420904564,0.6346163526086837,0.37443671865274836,0.4709205984644357,0.7695874903809004,0.004687350657024604
Decision Tree,0.8126147256542001,0.6364762800519366,0.35803869613927763,0.4576628960991516,0.745808173038207,0.0023614265958003156
Logistic Regression,0.8116966420051479,0.6672535516281523,0.29713513417388365,0.41113219461670203,0.764993297892589,0.0059212934711404385
